iter	Passed	Remaining
0	228	227890
1	230	114863
2	231	76845
3	232	57807
4	232	46362
5	233	38700
6	234	33233
7	234	29130
8	235	25936
9	236	23380
10	236	21291
11	237	19550
12	238	18079
13	238	16823
14	239	15734
15	240	14778
16	241	13935
17	241	13189
18	242	12516
19	243	11914
20	243	11369
21	244	10868
22	245	10411
23	245	9991
24	246	9607
25	246	9251
26	247	8921
27	248	8617
28	248	8332
29	249	8065
30	250	7816
31	250	7583
32	251	7363
33	251	7157
34	252	6965
35	253	6782
36	253	6610
37	254	6446
38	255	6290
39	255	6142
40	256	6000
41	257	5866
42	257	5738
43	258	5616
44	259	5498
45	259	5386
46	260	5278
47	260	5174
48	261	5076
49	262	4983
50	262	4891
51	263	4803
52	264	4718
53	264	4637
54	265	4559
55	266	4484
56	266	4413
57	267	4344
58	268	4277
59	268	4212
60	269	4148
61	270	4086
62	270	4026
63	271	3968
64	271	3912
65	272	3857
66	273	3804
67	273	3748
68	274	3698
69	274	3649
70	275	3603
71	275	3557
72	276	3512
73	277	3468
74	277	3426
75	278	3384
76	279	3345
77	279	3306
78	280	3270
79	281	3234
80	281	3199
81	282	3164
82	283	3132
83	284	3099
84	284	3065
85	285	3034
86	285	3000
87	286	2970
88	287	2939
89	287	2910
90	288	2881
91	289	2852
92	289	2824
93	290	2797
94	290	2771
95	291	2744
96	292	2719
97	292	2693
98	293	2669
99	293	2645
100	294	2622
101	294	2596
102	295	2573
103	296	2551
104	297	2531
105	297	2510
106	298	2489
107	298	2469
108	299	2449
109	300	2429
110	300	2410
111	301	2391
112	302	2372
113	302	2354
114	303	2336
115	304	2318
116	304	2300
117	305	2283
118	305	2265
119	306	2248
120	307	2231
121	307	2214
122	308	2196
123	308	2180
124	309	2165
125	310	2150
126	310	2136
127	311	2120
128	311	2105
129	312	2091
130	313	2077
131	313	2063
132	314	2049
133	315	2036
134	315	2023
135	316	2009
136	316	1996
137	317	1982
138	318	1970
139	318	1957
140	319	1944
141	319	1932
142	320	1920
143	321	1908
144	321	1897
145	322	1885
146	322	1873
147	323	1863
148	324	1852
149	325	1842
150	325	1831
151	326	1820
152	326	1809
153	327	1799
154	328	1788
155	328	1778
156	329	1768
157	329	1758
158	330	1748
159	331	1738
160	331	1729
161	332	1719
162	332	1709
163	333	1700
164	334	1691
165	334	1682
166	335	1673
167	336	1664
168	336	1655
169	337	1646
170	337	1637
171	338	1629
172	339	1621
173	339	1613
174	340	1605
175	341	1597
176	341	1589
177	342	1581
178	343	1573
179	343	1565
180	343	1556
181	344	1548
182	345	1540
183	345	1533
184	346	1525
185	347	1518
186	347	1511
187	348	1504
188	348	1497
189	349	1489
190	350	1482
191	350	1476
192	351	1469
193	351	1462
194	352	1455
195	353	1449
196	353	1442
197	354	1435
198	355	1429
199	355	1422
200	356	1416
201	356	1410
202	357	1403
203	358	1397
204	358	1391
205	359	1385
206	359	1379
207	360	1372
208	361	1366
209	361	1360
210	362	1355
211	363	1349
212	363	1343
213	364	1337
214	364	1331
215	365	1326
216	365	1320
217	366	1314
218	367	1309
219	367	1304
220	368	1299
221	369	1294
222	369	1288
223	370	1283
224	371	1278
225	371	1273
226	372	1267
227	372	1262
228	373	1257
229	374	1252
230	374	1247
231	375	1242
232	375	1237
233	376	1232
234	377	1227
235	377	1223
236	378	1218
237	378	1213
238	379	1208
239	380	1203
240	380	1199
241	381	1195
242	382	1190
243	382	1186
244	383	1181
245	384	1177
246	384	1172
247	385	1168
248	385	1163
249	386	1159
250	387	1155
251	387	1150
252	388	1146
253	388	1142
254	389	1137
255	390	1133
256	390	1129
257	391	1125
258	391	1121
259	392	1117
260	393	1113
261	393	1108
262	394	1104
263	394	1100
264	395	1097
265	396	1093
266	396	1089
267	397	1085
268	398	1081
269	398	1078
270	399	1074
271	399	1070
272	400	1066
273	401	1063
274	401	1059
275	402	1055
276	403	1051
277	403	1048
278	404	1044
279	404	1041
280	405	1037
281	406	1033
282	406	1030
283	407	1026
284	407	1023
285	408	1019
286	409	1016
287	409	1012
288	410	1009
289	410	1005
290	411	1002
291	412	999
292	412	995
293	413	992
294	413	989
295	414	985
296	415	982
297	415	979
298	416	976
299	416	972
300	417	969
301	418	966
302	418	963
303	419	960
304	419	956
305	420	953
306	421	950
307	421	947
308	422	944
309	422	941
310	423	938
311	424	935
312	424	932
313	425	929
314	426	926
315	426	923
316	427	920
317	427	917
318	428	914
319	429	911
320	429	908
321	430	905
322	430	902
323	431	900
324	432	897
325	432	894
326	433	891
327	433	888
328	434	886
329	435	883
330	435	880
331	436	877
332	436	875
333	437	872
334	438	870
335	438	867
336	439	864
337	440	862
338	440	859
339	441	856
340	442	854
341	442	851
342	443	849
343	443	846
344	444	843
345	445	841
346	445	838
347	446	836
348	447	833
349	447	831
350	448	828
351	448	826
352	449	823
353	450	821
354	450	818
355	451	816
356	451	814
357	452	811
358	453	809
359	453	806
360	454	804
361	454	801
362	455	799
363	456	797
364	456	794
365	457	792
366	458	790
367	458	787
368	459	785
369	459	782
370	460	780
371	461	778
372	461	776
373	462	773
374	462	771
375	463	769
376	464	766
377	464	764
378	465	762
379	465	760
380	466	757
381	467	755
382	467	753
383	468	751
384	468	749
385	469	746
386	470	744
387	470	742
388	471	740
389	471	738
390	472	735
391	473	733
392	473	731
393	474	729
394	474	727
395	475	725
396	476	723
397	476	721
398	477	719
399	477	716
400	478	714
401	479	712
402	479	710
403	480	708
404	481	706
405	481	704
406	482	702
407	483	700
408	483	698
409	484	696
410	484	694
411	485	692
412	486	690
413	486	688
414	487	686
415	487	685
416	488	683
417	489	681
418	489	679
419	490	677
420	491	675
421	491	673
422	492	671
423	492	669
424	493	667
425	494	665
426	494	664
427	495	662
428	496	660
429	496	658
430	497	656
431	498	655
432	498	653
433	499	651
434	500	649
435	500	647
436	501	645
437	501	643
438	502	642
439	503	640
440	503	638
441	504	636
442	504	634
443	505	633
444	506	631
445	507	630
446	508	629
447	509	627
448	510	626
449	510	624
450	511	622
451	511	620
452	512	618
453	513	617
454	513	615
455	514	613
456	515	611
457	515	610
458	516	608
459	516	606
460	517	605
461	518	603
462	518	601
463	519	599
464	519	598
465	520	596
466	521	594
467	521	593
468	522	591
469	523	589
470	523	588
471	524	586
472	524	584
473	525	583
474	526	581
475	526	579
476	527	578
477	527	576
478	528	574
479	529	573
480	529	571
481	530	569
482	530	568
483	531	566
484	532	565
485	532	563
486	533	561
487	533	560
488	534	558
489	535	557
490	535	555
491	536	553
492	537	552
493	537	550
494	538	549
495	538	547
496	539	546
497	540	544
498	540	542
499	541	541
500	541	539
501	542	538
502	543	536
503	543	535
504	544	533
505	544	532
506	545	530
507	546	528
508	546	527
509	547	525
510	548	524
511	548	522
512	549	521
513	550	520
514	550	518
515	551	517
516	551	515
517	552	514
518	553	512
519	553	511
520	554	509
521	554	508
522	555	506
523	556	505
524	556	503
525	557	502
526	557	500
527	558	499
528	559	497
529	559	496
530	560	494
531	561	493
532	561	492
533	562	490
534	562	489
535	563	487
536	564	486
537	564	485
538	565	483
539	565	482
540	566	480
541	567	479
542	567	477
543	568	476
544	569	475
545	569	473
546	570	472
547	570	470
548	571	469
549	572	468
550	572	466
551	573	465
552	573	463
553	574	462
554	575	461
555	575	459
556	576	458
557	577	457
558	577	455
559	578	454
560	578	453
561	579	451
562	580	450
563	580	448
564	581	447
565	581	446
566	582	444
567	583	443
568	583	442
569	584	440
570	584	439
571	585	438
572	586	436
573	586	435
574	587	434
575	587	432
576	588	431
577	589	430
578	589	428
579	590	427
580	590	426
581	591	424
582	592	423
583	592	422
584	593	420
585	593	419
586	594	418
587	595	417
588	595	415
589	596	414
590	597	413
591	597	411
592	598	410
593	598	409
594	599	408
595	600	406
596	600	405
597	601	404
598	601	402
599	602	401
600	603	400
601	603	399
602	604	397
603	605	396
604	605	395
605	606	394
606	607	393
607	608	392
608	609	391
609	609	389
610	610	388
611	611	387
612	612	386
613	612	385
614	613	384
615	614	383
616	615	382
617	616	380
618	616	379
619	617	378
620	618	377
621	619	376
622	620	375
623	620	374
624	621	372
625	622	371
626	622	370
627	624	369
628	624	368
629	625	367
630	626	366
631	626	365
632	627	363
633	628	362
634	628	361
635	629	360
636	630	359
637	631	358
638	631	356
639	632	355
640	633	354
641	634	353
642	634	352
643	635	351
644	636	350
645	637	349
646	638	348
647	639	347
648	639	346
649	640	344
650	641	343
651	642	342
652	643	341
653	643	340
654	644	339
655	645	338
656	646	337
657	647	336
658	647	335
659	648	334
660	649	333
661	650	331
662	650	330
663	651	329
664	652	328
665	653	327
666	653	326
667	654	325
668	655	324
669	655	322
670	656	321
671	657	320
672	657	319
673	658	318
674	659	317
675	659	316
676	660	315
677	661	314
678	661	312
679	662	311
680	663	310
681	664	309
682	664	308
683	665	307
684	666	306
685	666	305
686	667	304
687	668	303
688	669	302
689	669	300
690	670	299
691	670	298
692	671	297
693	672	296
694	672	295
695	673	294
696	674	293
697	674	291
698	675	290
699	676	289
700	676	288
701	677	287
702	677	286
703	678	285
704	679	284
705	679	283
706	680	281
707	681	280
708	681	279
709	682	278
710	682	277
711	683	276
712	684	275
713	684	274
714	685	273
715	686	272
716	686	271
717	687	269
718	687	268
719	688	267
720	689	266
721	689	265
722	690	264
723	691	263
724	691	262
725	692	261
726	693	260
727	693	259
728	694	258
729	695	257
730	695	256
731	696	254
732	697	253
733	697	252
734	698	251
735	698	250
736	699	249
737	700	248
738	700	247
739	701	246
740	702	245
741	702	244
742	703	243
743	703	242
744	704	241
745	705	240
746	705	239
747	706	237
748	707	236
749	707	235
750	708	234
751	709	233
752	709	232
753	710	231
754	711	230
755	711	229
756	712	228
757	712	227
758	713	226
759	714	225
760	714	224
761	715	223
762	716	222
763	716	221
764	717	220
765	717	219
766	718	218
767	719	217
768	719	216
769	720	215
770	721	214
771	721	213
772	722	212
773	723	211
774	723	210
