iter	Passed	Remaining
0	178	178257
1	180	89820
2	181	60208
3	182	45462
4	183	36599
5	185	30752
6	191	27146
7	194	24068
8	196	21636
9	199	19786
10	201	18145
11	203	16763
12	205	15584
13	207	14620
14	209	13734
15	229	14137
16	232	13445
17	236	12884
18	237	12271
19	239	11731
20	240	11234
21	242	10781
22	244	10400
23	247	10082
24	249	9740
25	251	9433
26	253	9126
27	255	8864
28	257	8611
29	259	8375
30	260	8150
31	262	7951
32	264	7750
33	266	7576
34	270	7450
35	272	7284
36	273	7130
37	276	6988
38	277	6838
39	279	6701
40	281	6574
41	282	6448
42	284	6336
43	286	6218
44	287	6107
45	289	6010
46	291	5907
47	293	5813
48	294	5721
49	307	5846
50	309	5751
51	310	5660
52	312	5578
53	313	5492
54	315	5413
55	316	5337
56	318	5274
57	325	5280
58	327	5219
59	328	5150
60	330	5086
61	332	5027
62	333	4961
63	335	4906
64	341	4910
65	343	4861
66	346	4827
67	348	4779
68	350	4724
69	351	4669
70	353	4623
71	356	4591
72	358	4557
73	361	4518
74	364	4493
75	366	4457
76	368	4415
77	370	4383
78	374	4365
79	376	4334
80	378	4296
81	380	4260
82	381	4220
83	384	4190
84	386	4158
85	388	4125
86	389	4089
87	391	4055
88	392	4021
89	394	3988
90	396	3958
91	398	3930
92	400	3904
93	402	3876
94	403	3845
95	405	3815
96	406	3785
97	408	3755
98	410	3731
99	411	3704
100	413	3677
101	415	3657
102	417	3636
103	419	3611
104	420	3588
105	422	3564
106	424	3539
107	425	3517
108	427	3494
109	429	3472
110	432	3460
111	434	3443
112	435	3422
113	437	3401
114	439	3382
115	440	3360
116	442	3337
117	444	3319
118	446	3302
119	447	3284
120	450	3270
121	451	3250
122	453	3234
123	455	3215
124	456	3196
125	458	3177
126	459	3156
127	461	3141
128	463	3127
129	464	3109
130	466	3093
131	468	3078
132	469	3063
133	471	3050
134	474	3041
135	477	3034
136	479	3018
137	480	3003
138	482	2989
139	484	2974
140	485	2959
141	486	2941
142	488	2927
143	490	2913
144	492	2903
145	495	2895
146	497	2884
147	499	2875
148	501	2864
149	503	2853
150	505	2840
151	507	2832
152	510	2823
153	513	2823
154	516	2816
155	518	2806
156	520	2794
157	522	2783
158	524	2775
159	527	2767
160	528	2752
161	529	2741
162	531	2730
163	533	2719
164	535	2711
165	538	2704
166	540	2694
167	542	2684
168	543	2673
169	545	2661
170	546	2649
171	547	2636
172	548	2624
173	550	2611
174	552	2604
175	555	2601
176	557	2593
177	559	2584
178	561	2573
179	562	2562
180	564	2552
181	565	2542
182	567	2535
183	571	2532
184	572	2522
185	573	2511
186	575	2501
187	576	2491
188	578	2481
189	579	2472
190	583	2470
191	585	2462
192	586	2452
193	588	2443
194	589	2433
195	590	2423
196	592	2413
197	593	2404
198	595	2395
199	597	2390
200	600	2386
201	601	2377
202	603	2369
203	605	2360
204	606	2352
205	608	2344
206	609	2336
207	611	2330
208	614	2326
209	616	2318
210	618	2314
211	620	2306
212	622	2301
213	626	2299
214	628	2295
215	631	2293
216	633	2285
217	634	2277
218	636	2269
219	637	2261
220	639	2253
221	641	2247
222	644	2244
223	646	2239
224	648	2233
225	650	2226
226	651	2220
227	653	2212
228	655	2206
229	657	2201
230	659	2195
231	661	2191
232	663	2184
233	665	2177
234	666	2170
235	668	2163
236	669	2155
237	671	2151
238	674	2147
239	676	2142
240	679	2139
241	681	2134
242	683	2129
243	685	2124
244	689	2123
245	692	2121
246	694	2117
247	696	2111
248	698	2107
249	701	2104
250	704	2102
251	706	2096
252	711	2101
253	713	2095
254	714	2088
255	717	2084
256	720	2081
257	722	2076
258	727	2081
259	729	2075
260	731	2071
261	735	2072
262	737	2067
263	740	2063
264	742	2058
265	743	2051
266	746	2049
267	749	2047
268	752	2045
269	759	2054
270	769	2071
271	775	2076
272	792	2110
273	796	2109
274	797	2102
275	798	2095
276	800	2088
277	801	2080
278	802	2073
279	804	2069
280	806	2062
281	808	2057
282	810	2053
283	812	2048
284	813	2041
285	815	2035
286	816	2028
287	817	2021
288	818	2014
289	821	2010
290	823	2006
291	825	2001
292	826	1995
293	828	1989
294	830	1984
295	832	1979
296	833	1974
297	836	1969
298	839	1967
299	841	1964
300	844	1960
301	846	1956
302	848	1951
303	850	1947
304	852	1943
305	855	1939
306	857	1936
307	860	1932
308	862	1929
309	864	1924
310	866	1919
311	869	1916
312	871	1912
313	874	1910
314	876	1906
315	878	1901
316	880	1896
317	882	1893
318	886	1892
319	888	1887
320	889	1882
321	891	1876
322	893	1872
323	895	1867
324	897	1864
325	899	1859
326	902	1856
327	904	1853
328	907	1850
329	909	1847
330	911	1841
331	912	1836
332	915	1833
333	918	1831
334	919	1826
335	921	1821
336	923	1815
337	924	1810
338	926	1805
339	928	1801
340	930	1797
341	934	1797
342	936	1793
343	938	1788
344	939	1784
345	942	1781
346	946	1781
347	949	1778
348	953	1779
349	956	1776
350	961	1777
351	963	1774
352	968	1774
353	970	1771
354	974	1770
355	979	1771
356	981	1767
357	982	1762
358	984	1758
359	986	1754
360	993	1759
361	995	1755
362	997	1750
363	999	1746
364	1001	1741
365	1002	1737
366	1005	1734
367	1008	1731
368	1010	1727
369	1011	1723
370	1014	1720
371	1017	1717
372	1019	1714
373	1022	1711
374	1024	1707
375	1026	1702
376	1027	1698
377	1029	1694
378	1032	1691
379	1035	1689
380	1037	1686
381	1039	1681
382	1041	1677
383	1042	1673
384	1046	1670
385	1048	1667
386	1049	1662
387	1051	1658
388	1053	1653
389	1054	1649
390	1057	1646
391	1060	1644
392	1062	1641
393	1064	1636
394	1065	1632
395	1067	1627
396	1068	1623
397	1070	1618
398	1071	1613
399	1072	1609
400	1074	1605
401	1076	1601
402	1079	1599
403	1082	1597
404	1084	1592
405	1085	1588
406	1087	1584
407	1088	1580
408	1090	1575
409	1092	1571
410	1095	1569
411	1097	1565
412	1099	1562
413	1102	1560
414	1105	1558
415	1107	1555
416	1110	1552
417	1111	1547
418	1112	1543
419	1114	1538
420	1115	1534
421	1118	1532
422	1121	1529
423	1122	1525
424	1125	1522
425	1126	1517
426	1128	1513
427	1129	1509
428	1131	1505
429	1132	1501
430	1134	1497
431	1136	1494
432	1139	1492
433	1141	1489
434	1143	1484
435	1144	1480
436	1146	1476
437	1147	1472
438	1149	1468
439	1150	1464
440	1152	1460
441	1156	1460
442	1158	1456
443	1160	1453
444	1162	1449
445	1164	1446
446	1165	1442
447	1167	1438
448	1170	1436
449	1173	1434
450	1175	1430
451	1177	1427
452	1178	1423
453	1180	1419
454	1181	1415
455	1185	1414
456	1188	1412
457	1192	1411
458	1195	1408
459	1198	1406
460	1200	1404
461	1202	1400
462	1204	1396
463	1206	1393
464	1209	1391
465	1214	1391
466	1217	1389
467	1218	1385
468	1220	1381
469	1221	1377
470	1223	1374
471	1226	1372
472	1231	1372
473	1236	1372
474	1238	1368
475	1240	1365
476	1241	1361
477	1244	1359
478	1247	1356
479	1248	1352
480	1250	1349
481	1252	1345
482	1253	1341
483	1255	1337
484	1256	1333
485	1258	1330
486	1260	1327
487	1262	1324
488	1264	1321
489	1266	1317
490	1267	1314
491	1269	1310
492	1270	1306
493	1272	1303
494	1274	1299
495	1276	1296
496	1279	1294
497	1280	1291
498	1282	1287
499	1283	1283
500	1285	1280
501	1286	1276
502	1288	1272
503	1290	1269
504	1292	1266
505	1294	1263
506	1296	1260
507	1298	1257
508	1299	1253
509	1301	1250
510	1302	1246
511	1303	1242
512	1306	1239
513	1308	1237
514	1310	1234
515	1312	1230
516	1313	1227
517	1315	1223
518	1316	1220
519	1318	1216
520	1320	1213
521	1321	1210
522	1323	1207
523	1324	1203
524	1327	1200
525	1328	1197
526	1330	1194
527	1332	1191
528	1334	1187
529	1335	1184
530	1337	1181
531	1340	1178
532	1341	1175
533	1343	1172
534	1344	1168
535	1346	1165
536	1347	1162
537	1349	1158
538	1351	1155
539	1354	1153
540	1355	1150
541	1357	1146
542	1359	1144
543	1361	1140
544	1362	1137
545	1364	1134
546	1365	1131
547	1368	1128
548	1370	1125
549	1371	1122
550	1373	1119
551	1375	1116
552	1376	1112
553	1378	1109
554	1380	1106
555	1383	1104
556	1385	1101
557	1386	1098
558	1388	1095
559	1390	1092
560	1391	1089
561	1393	1085
562	1395	1082
563	1397	1080
564	1399	1077
565	1400	1074
566	1402	1070
567	1403	1067
568	1405	1064
569	1406	1061
570	1408	1058
571	1410	1055
572	1412	1052
573	1414	1049
574	1415	1046
